logP,BP,MW,2DmMW,2Dx,2Dy,2Dz,2Du,2Ds,PM,L2D,Flow,GV2DT1,GV2DT2,GV2DT3,GV2DT4,GV2DT5,GV2DRT,A2D2,A2D3,A2D4
"4,54","195,9","156,31",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"5,32",234,"184,37",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"5,71","253,6","198,39",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"6,1","270,7","212,42",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"6,88",302,"240,471",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"7,27",317,"254,494",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"7,66",330,"268,518",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"11,15","368,6","310,6027",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"1,56",157,"102,162",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"1,95",175,"116,88",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"2,34",195,"130,23",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"2,73",214,"144,26",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"3,12",230,"158,28",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"3,51",243,"172,31",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"3,9",259,"186,34",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
